id,character_id,emotion,text_zh,text_ja,safe_version,condition,interaction_type
# Final Chapter: 《ΠΑΝΗΓΥΡΙΣ》
f0_001,system,,,,,,env_switch:bedroom
f0_002,narrator,,黑幕过去以后。房间还在。,黑幕过去以后。房间还在。,房间还在。,,
f0_003,emida,calm,游戏机坏了。,游戏机坏了。,游戏机坏了。,,
f0_004,emida,calm,屏幕上的彩色方块停在一个很难看的表情上。,屏幕上的彩色方块停在一个很难看的表情上。,彩色方块停住。,,
f0_005,emida,neutral,三张卡带都在桌上。像三块已经冷掉的吐司。,三张卡带都在桌上。像三块已经冷掉的吐司。,三张卡带在桌上。,,
f0_006,emida,neutral,床头柜上有三根烟蒂。横着排好。比我还像在等什么。,床头柜上有三根烟蒂。横着排好。比我还像在等什么。,三根烟蒂。,,
f0_007,emida,internal,我突然知道今天不会再有第四张卡带。,我突然知道今天不会再有第四张卡带。,没有第四张卡带。,,
f0_008,emida,internal,接下来要自己走。,接下来要自己走。,自己走。,,
f0_009,narrator,,点击地面。她会走过去。,点击地面。她会走过去。,点击地面。,,click_to_walk
f0_010,narrator,,房门打开的时候。走廊灯没有亮。,房门打开的时候。走廊灯没有亮。,房门打开。,,
f0_011,system,,,,,,env_switch:street
f0_012,forum_post,,【巴别塔】睡眠障碍。第七天。我开始怀疑床只是比较软的站台。,【巴别塔】睡眠障碍。第七天。我开始怀疑床只是比较软的站台。,睡眠障碍。,,
f0_013,narrator,,她低头走路。路面被晨雾洗得发白。,她低头走路。路面被晨雾洗得发白。,低头走路。,,
f0_014,forum_post,,【巴别塔】人是恶魔。至少凌晨三点的人类看起来都不像人。,【巴别塔】人是恶魔。至少凌晨三点的人类看起来都不像人。,人是恶魔。,,
f0_015,narrator,,便利店的招牌还亮着。玻璃门里没有麦高芬。,便利店的招牌还亮着。玻璃门里没有麦高芬。,便利店没有人。,,
f0_016,forum_post,,【巴别塔】希望愉快地死。不是今天。今天还要洗衣服。,【巴别塔】希望愉快地死。不是今天。今天还要洗衣服。,愉快地死。,,
f0_017,narrator,,她经过学校。操场像一张没有保存的空白文档。,她经过学校。操场像一张没有保存的空白文档。,经过学校。,,
f0_018,forum_post,,【巴别塔】雨が続くでしょう。天气预报说晴。我相信天气预报会输。,【巴别塔】雨が続くでしょう。天气预报说晴。我相信天气预报会输。,雨会继续。,,
f0_019,narrator,,没有学生。没有铃声。只有风把塑料袋推过校门。,没有学生。没有铃声。只有风把塑料袋推过校门。,校门空着。,,
