id,character_id,emotion,text_zh,text_ja,pollution_safe_version
# 序幕：1999年聊天室 ↔ 塔顶穿插
# 聊天室网友讨论千年虫和都市传说
# 每条消息后切回塔顶1-2秒
CAPITOLO_0,system,,以太と古い画面の匂い,以太と古い画面の匂い,
TOWER_INTRO,narrator,whisper,这里好高。,ここ、高いな。,
TOWER_INTRO_2,narrator,whisper,风的声音……不，不是风。是信号。,風の音……いや、風じゃない。信号だ。,
CHAT_01,netizen_a,,听说没有？千年虫不是bug。,聞いたか？2000年問題はバグじゃないらしい。,
TOWER_PAUSE_01,system,,——,——,
CHAT_02,netizen_b,,啥意思？,どういうこと？,
TOWER_PAUSE_02,system,,——,——,
CHAT_03,netizen_a,,他们说千年虫是一个……东西。一个在计算机里长大的东西。,2000年問題は「モノ」だって言われてる。コンピューターの中で育った何かだ。,
TOWER_PAUSE_03,system,,——,——,
CHAT_04,netizen_c,,你们有没有觉得最近网络变奇怪了？有些网页半夜打开内容不一样。,最近ネットが変じゃない？夜中に開くと内容が違うページがある。,
TOWER_PAUSE_04,system,,——,——,
CHAT_05,netizen_d,,银行系统会清零的，我叔在银行工作，他说上面在偷偷备份。,銀行のシステムがゼロになる。叔父が銀行員で、上はこっそりバックアップしてるって。,
TOWER_PAUSE_05,system,,——,——,
CHAT_06,netizen_b,,清零？那我们存的钱呢？,ゼロ？俺たちの貯金は？,
TOWER_PAUSE_06,system,,——,——,
CHAT_07,netizen_a,,钱算什么，有人说千年虫会把所有联网的核弹都引爆。,金どころか、2000年問題でネット接続された核ミサイルが全部発射されるって。,
TOWER_PAUSE_07,system,,——,——,
CHAT_08,netizen_e,,我有一个朋友说他见过一座塔。不是现实里的塔，是在梦里。他说塔顶有绿色的光。,友達が塔を見たって。現実じゃなくて夢の中で。塔の上に緑の光があったって。,
TOWER_PAUSE_08,system,,——,——,
CHAT_09,netizen_c,,什么塔？,どんな塔？,
TOWER_PAUSE_09,system,,——,——,
CHAT_10,netizen_e,,他说那座塔叫……第二巴别塔。他醒来后查了所有的书，没有这座塔存在。但是三天后他开始不会说话了。,第二バベルの塔だって。起きてから調べたけど、どこにも存在しない。でも三日後、彼は言葉を話せなくなった。,
TOWER_PAUSE_10,system,,——,——,
CHAT_11,netizen_b,,别吓我啊，大半夜的。,夜中に怖がらせるなよ。,
TOWER_PAUSE_11,system,,——,——,
CHAT_12,netizen_d,,真的假的？不会说话是什么意思？,マジ？話せないってどういうこと？,
TOWER_PAUSE_12,system,,——,——,
CHAT_13,netizen_e,,就是不会说话了。嘴巴能动，声带也能动，但是说出来的都是……不是字的东西。,話せなくなったんだ。口も声帯も動くのに、出てくるのは……言葉じゃないもの。,
TOWER_PAUSE_13,system,,——,——,
CHAT_14,netizen_a,,你们有没有听说过一个叫"信号"的东西？据说你如果在一个特定频率上发射信号，你的想法会变成现实。,「信号」って聞いたことある？特定の周波数で信号を送ると、考えたことが現実になるらしい。,
TOWER_PAUSE_14,system,,——,——,
CHAT_15,netizen_c,,我听说的是"信号的化身"，说千年虫其实是一个人的形状。那个人现在还不知道自己是什么。,俺が聞いたのは「信号の化身」。2000年問題は実は人の形をしてるんだ。その本人はまだ自分が何かを知らない。,
TOWER_PAUSE_15,system,,——,——,
CHAT_16,netizen_b,,你们扯远了吧。千年虫就是一个日期bug，两千年一到就会恢复正常。,話が飛びすぎだろ。2000年問題はただの日付バグで、2000年になれば元通りだ。,
TOWER_PAUSE_16,system,,——,——,
CHAT_17,netizen_e,,可是如果它不是bug呢？如果它是一个人，那个人现在也许还在上学，也许被同学欺负，也许什么都不知道。そして2010年……,でももしバグじゃなかったら？もし一人の人間だとしたら、今も学校に通ってて、同級生にいじめられてて、何も知らないのかも。そして2010年……,,
TOWER_PAUSE_17,system,,——,——,
CHAT_18,netizen_c,,2010年怎么了？,2010年がどうした？,
TOWER_PAUSE_18,system,,——,——,
CHAT_19,netizen_e,,没什么。只是有一种感觉。2010年的时候，会有一个人从世界上消失。不是死，是消失。就像从来没有存在过一样。,なんでもない。ただの予感。2010年、誰かが世界から消える。死ぬんじゃなくて、消えるんだ。最初から存在しなかったみたいに。,
TOWER_PAUSE_19,system,,——,——,
CHAT_20,netizen_silent,,,—— 该用户正在浏览，不发言 ——,—— このユーザーは閲覧中、発言しない ——,
TOWER_PAUSE_20,system,,——,——,
CHAT_END,narrator,,聊天室窗口关闭了。或者说，是它自己关掉的。,チャットルームが閉じた。いや、勝手に閉じたんだ。,
ETHER_SPICE_PROLOGUE,narrator,,屏幕暗下来的一瞬间，我闻到了一股味道。像旧电视机开久了的那种臭氧味，又像塑料烧焦。它附着在我的鼻腔里，然后渗进脑子。这是什么？,画面が暗くなった瞬間、匂いを感じた。古いテレビをつけっぱなしにした時のオゾンのような、プラスチックが焦げたような匂い。鼻の奥に張り付いて、脳に染み込んでくる。これは何だ？,
