id,character_id,emotion,text_zh,text_ja,safe_version,condition,interaction_type
# Cartridge 2: 《晚饭吃什么》
c2_001,system,,,,,,env_switch:bedroom
c2_002,emida,neutral,肚子叫的时候。CRT屏幕正好闪了一下。,肚子叫的时候。CRT屏幕正好闪了一下。,肚子叫了。,,
c2_003,emida,neutral,声音很大。大到像有人在房间里敲门。,声音很大。大到像有人在房间里敲门。,声音很大。,,
c2_004,emida,tired,我今天好像又没吃饭。,我今天好像又没吃饭。,没吃饭。,,
c2_005,emida,neutral,不是故意的。只是早上想等一下。中午想等一下。等着等着就晚上了。,不是故意的。只是早上想等一下。中午想等一下。等着等着就晚上了。,等到晚上。,,
c2_006,emida,4thwall,嘿。你听见了吗。,嘿。你听见了吗。,你听见了吗。,,
c2_007,emida,4thwall,对。说的就是你。屏幕前面那个。,对。说的就是你。屏幕前面那个。,说的是你。,,
c2_008,emida,4thwall,别装没听见。刚才那一声很没礼貌地替我自我介绍了。,别装没听见。刚才那一声很没礼貌地替我自我介绍了。,肚子自我介绍。,,
c2_009,emida,neutral,你会说话吗。或者你只会按键。,你会说话吗。或者你只会按键。,你会说话吗。,,
c2_010,player,,先吃点东西吧。,先吃点东西吧。,先吃东西。,,keyboard_sim:6
c2_011,emida,smile,看吧。你也觉得应该吃东西。,看吧。你也觉得应该吃东西。,你也觉得该吃。,,
c2_012,emida,thoughtful,可是晚饭吃什么这个问题一出现。我就开始觉得它很可疑。,可是晚饭吃什么这个问题一出现。我就开始觉得它很可疑。,问题很可疑。,,
c2_013,emida,thoughtful,它好像不是在问今晚吃什么。它在问什么东西曾经让我觉得安全。,它好像不是在问今晚吃什么。它在问什么东西曾经让我觉得安全。,什么让我安全。,,
c2_014,emida,neutral,薯条。,薯条。,薯条。,,
c2_015,emida,neutral,用手抓。烫的时候吹两下。盐粘在指尖上。,用手抓。烫的时候吹两下。盐粘在指尖上。,盐在指尖。,,
c2_016,emida,thoughtful,这东西很奇怪。明明是油锅和纸袋做出来的。却装得像从很远的地方回来。,这东西很奇怪。明明是油锅和纸袋做出来的。却装得像从很远的地方回来。,薯条很奇怪。,,
c2_017,emida,4thwall,你是不是想说我想太多。,你是不是想说我想太多。,我想太多。,,
c2_018,player,,你确实想太多了。,你确实想太多了。,想太多。,,keyboard_sim:7
c2_019,emida,smile,谢谢。很像我会对自己说的话。,谢谢。很像我会对自己说的话。,像我自己会说的。,,
c2_020,emida,thoughtful,可是我没办法不想。我的脑子一安静。就会自动打开旧文件夹。,可是我没办法不想。我的脑子一安静。就会自动打开旧文件夹。,脑子打开旧文件夹。,,
c2_021,emida,thoughtful,2000年以前的东西几乎都不在里面。,2000年以前的东西几乎都不在里面。,以前的东西不在。,,
c2_022,emida,neutral,我不是不记得幼儿园的便当盒那种不记得。,我不是不记得幼儿园的便当盒那种不记得。,不是普通忘记。,,
c2_023,emida,neutral,我是连那个时候的空气都没有。,我是连那个时候的空气都没有。,连空气都没有。,,
c2_024,player,,火呢。,火呢。,火呢。,,keyboard_sim:2
c2_025,emida,shaken,不要突然打这个字。,不要突然打这个字。,不要突然打火。,,
c2_026,emida,neutral,……好吧。是的。还有火。,……好吧。是的。还有火。,还有火。,,
c2_027,emida,thoughtful,木房子。红色。薯条雨。醒来以后嘴里像含着一枚硬币。,木房子。红色。薯条雨。醒来以后嘴里像含着一枚硬币。,梦里的火。,,
c2_028,player,,那座塔也在梦里吗。,那座塔也在梦里吗。,塔在梦里吗。,,keyboard_sim:8
c2_029,emida,neutral,有时候在。有时候不在。,有时候在。有时候不在。,有时候在。,,
c2_030,emida,neutral,最烦的是。现实里它也在。,最烦的是。现实里它也在。,现实也在。,,
c2_031,emida,thoughtful,学校的人在说它。论坛的人在说它。连我不想吃饭的时候也能绕回它。,学校的人在说它。论坛的人在说它。连我不想吃饭的时候也能绕回它。,大家都在说塔。,,
c2_032,emida,4thwall,你也在把我往那边推吗。,你也在把我往那边推吗。,你也在推我吗。,,
c2_033,player,,我只是按了键。,我只是按了键。,只是按键。,,keyboard_sim:5
c2_034,emida,smile,这句话有点吓人。,这句话有点吓人。,有点吓人。,,
c2_035,emida,tired,算了。我饿到开始跟屏幕吵架了。,算了。我饿到开始跟屏幕吵架了。,饿到吵架。,,
c2_036,emida,neutral,去冰箱看看。拜托里面至少有半块能吃的东西。,去冰箱看看。拜托里面至少有半块能吃的东西。,去冰箱。,,
c2_037,system,,,,,,env_switch:kitchen
c2_038,emida,neutral,厨房灯坏了一半。剩下那半边像医院。,厨房灯坏了一半。剩下那半边像医院。,厨房像医院。,,
c2_039,emida,neutral,冰箱门上贴着便利店的贴纸。边角卷起来了。,冰箱门上贴着便利店的贴纸。边角卷起来了。,冰箱贴纸。,,
c2_040,emida,neutral,打开。,打开。,打开冰箱。,,
c2_041,system,,,,,,minigame_trigger:fridge
c2_042,emida,disappointed,看来是没有什么可以吃的东西了。,看来是没有什么可以吃的东西了。,没有吃的。,,
c2_043,emida,neutral,空罐子。衣服。发霉水果。开封过的牛奶盒。,空罐子。衣服。发霉水果。开封过的牛奶盒。,冰箱里的东西。,,
c2_044,emida,neutral,这些东西如果能组成一道菜。那道菜一定会报警。,这些东西如果能组成一道菜。那道菜一定会报警。,不能组成菜。,,
c2_045,emida,tired,出门吧。不然我会开始认真考虑番茄酱配自来水。,出门吧。不然我会开始认真考虑番茄酱配自来水。,出门找吃的。,,
c2_046,system,,,,,,env_switch:black
c2_047,narrator,,门锁咔哒一声。楼道的灯慢半拍亮起来。,门锁咔哒一声。楼道的灯慢半拍亮起来。,出门。,,
c2_048,narrator,,几秒钟里。世界只有脚步和肚子。,几秒钟里。世界只有脚步和肚子。,脚步和肚子。,,
c2_049,system,,,,,,env_switch:convenience_store
c2_050,emida,neutral,便利店亮得不像半夜。玻璃把我照成一个很没精神的幽灵。,便利店亮得不像半夜。玻璃把我照成一个很没精神的幽灵。,便利店很亮。,,
c2_051,emida,neutral,门口有个人在抽烟。蹲姿很随便。像她把整条街都借走了。,门口有个人在抽烟。蹲姿很随便。像她把整条街都借走了。,门口有人抽烟。,,
c2_052,emida,internal,她看着我进店。看着我拿饭团。看着我付钱。,她看着我进店。看着我拿饭团。看着我付钱。,她一直看着我。,,
c2_053,emida,internal,我走出来的时候。她把烟拿开。像终于等到台词。,我走出来的时候。她把烟拿开。像终于等到台词。,她要说话。,,
c2_054,macguffin,grin,喂。你就是埃弥亣吧。,喂。你就是埃弥亣吧。,你是埃弥亣。,,
c2_055,emida,shaken,你为什么知道我的名字。,你为什么知道我的名字。,为什么知道名字。,,
c2_056,macguffin,casual,卢米那老头说你今晚会在这里出现。所以我就蹲在这里。,卢米那老头说你今晚会在这里出现。所以我就蹲在这里。,卢米那让我等你。,,
c2_057,emida,wary,卢米那是谁。你又是谁。,卢米那是谁。你又是谁。,你是谁。,,
c2_058,macguffin,grin,我叫麦高芬。别笑。这个名字我也没得选。,我叫麦高芬。别笑。这个名字我也没得选。,我叫麦高芬。,,
c2_059,emida,neutral,我还没笑。,我还没笑。,没笑。,,
c2_060,macguffin,casual,那你人还不错。,那你人还不错。,人不错。,,
c2_061,macguffin,serious,听着。那座塔别去。,听着。那座塔别去。,别去塔。,,
c2_062,emida,wary,什么塔。你们这些人能不能先从打招呼开始。,什么塔。你们这些人能不能先从打招呼开始。,先打招呼。,,
c2_063,macguffin,casual,刚才不是喂了吗。,刚才不是喂了吗。,刚才喂了。,,
c2_064,emida,annoyed,那不算。,那不算。,不算。,,
c2_065,macguffin,serious,第二巴别塔。卢米那说你会去。还说你是什么容器。,第二巴别塔。卢米那说你会去。还说你是什么容器。,你会去塔。,,
c2_066,macguffin,casual,我没听懂。老头讲话像坏掉的收音机。重点是别去。,我没听懂。老头讲话像坏掉的收音机。重点是别去。,重点别去。,,
c2_067,emida,confused,容器。塔。老头。你们是什么邪教宣传小队吗。,容器。塔。老头。你们是什么邪教宣传小队吗。,像邪教宣传。,,
c2_068,macguffin,grin,如果是的话。我们经费也太差了。连传单都没有。,如果是的话。我们经费也太差了。连传单都没有。,经费太差。,,
c2_069,emida,neutral,那你为什么来找我。,那你为什么来找我。,为什么找我。,,
c2_070,macguffin,serious,因为有人说你现在还忘着。等你想起来就晚了。,因为有人说你现在还忘着。等你想起来就晚了。,你还忘着。,,
c2_071,emida,shaken,忘着什么。,忘着什么。,忘了什么。,,
c2_072,macguffin,lowered,我哪知道。我只是跑腿的。,我哪知道。我只是跑腿的。,只是跑腿。,,
c2_073,macguffin,lowered,不过卢米那说。如果你真是那只虫。塔会比任何人都想见你。,不过卢米那说。如果你真是那只虫。塔会比任何人都想见你。,塔想见你。,,
c2_074,emida,angry,神经。,神经。,神经。,,
c2_075,macguffin,casual,对。你保持这个态度挺好的。至少还会骂人。,对。你保持这个态度挺好的。至少还会骂人。,还会骂人。,,
c2_076,emida,angry,我要回家了。,我要回家了。,回家。,,
c2_077,macguffin,serious,回家可以。别上去。,回家可以。别上去。,别上去。,,
c2_078,emida,internal,我走出两步。饭团还没吃。塑料袋勒着手指。,我走出两步。饭团还没吃。塑料袋勒着手指。,走出两步。,,
c2_079,system,,,,,,red_flash
c2_080,emida,shaken,红色。,红色。,红色。,,
c2_081,narrator,,便利店的白灯闪了一下。每一根灯管里都钻出细小的红字。,便利店的白灯闪了一下。每一根灯管里都钻出细小的红字。,红字钻出来。,,
c2_082,narrator,,它们不是句子。更像一群急着挤进眼睛里的虫。,它们不是句子。更像一群急着挤进眼睛里的虫。,红字像虫。,,
c2_083,emida,shaken,这不是真的。,这不是真的。,不是真的。,,
c2_084,narrator,,街道往后退。玻璃往前推。有人在很远的地方敲键盘。,街道往后退。玻璃往前推。有人在很远的地方敲键盘。,远处敲键盘。,,
c2_085,player,,别看。,别看。,别看。,,keyboard_sim:3
c2_086,emida,shaken,我没有看。它自己进来了。,我没有看。它自己进来了。,它自己进来。,,
c2_087,narrator,,一张木房子的照片。半秒。又一张。塔。绿光。薯条落在血一样的水里。,一张木房子的照片。半秒。又一张。塔。绿光。薯条落在血一样的水里。,闪回图片。,,
c2_088,system,,,,,,env_switch:black
c2_089,narrator,,倒地的声音比想象中轻。,倒地的声音比想象中轻。,倒地。,,
c2_090,emida,tired,我醒来的时候。店员在叫救护车。,我醒来的时候。店员在叫救护车。,醒来。,,
c2_091,emida,tired,麦高芬不见了。门口只有一截烟灰。,麦高芬不见了。门口只有一截烟灰。,麦高芬不见。,,
c2_092,emida,internal,饭团滚到货架下面。像一颗小小的白色行星。,饭团滚到货架下面。像一颗小小的白色行星。,饭团滚走。,,
c2_093,emida,internal,我还是很饿。可我突然不想吃了。,我还是很饿。可我突然不想吃了。,不想吃。,,
c2_094,system,,,,,,env_switch:bedroom
c2_095,emida,neutral,回到家。床头柜上多了一根烟蒂。,回到家。床头柜上多了一根烟蒂。,多了一根烟蒂。,,
