id,character_id,emotion,text_zh,text_ja,safe_version,condition,interaction_type
# Cartridge 1: 《薯条雨&火焰&我》
c1_001,system,,,,,,env_switch:dream_burning
c1_002,narrator,,那是一栋木房子。很老。很干。,那是一栋木房子。很老。很干。,那是一栋木房子。,,
c1_003,narrator,,雨先落下来。不是水。是油一样温热的味道。,雨先落下来。不是水。是油一样温热的味道。,雨先落下来。,,
c1_004,narrator,,我站在门口。脚底是湿的。鼻子里却是薯条。,我站在门口。脚底是湿的。鼻子里却是薯条。,鼻子里是薯条味。,,
c1_005,narrator,,房子没有声音。火也没有声音。只有我在喘气。,房子没有声音。火也没有声音。只有我在喘气。,只有我在喘气。,,
c1_006,narrator,,红色从窗框开始咬。像有什么东西饿了很久。,红色从窗框开始咬。像有什么东西饿了很久。,红色开始咬房子。,,
c1_007,narrator,,我想跑。可是梦里的脚总是不太听话。,我想跑。可是梦里的脚总是不太听话。,我想跑。,,
c1_008,narrator,,第一根薯条掉在台阶上。啪的一声。像一根小小的骨头。,第一根薯条掉在台阶上。啪的一声。像一根小小的骨头。,薯条掉在台阶上。,,
c1_009,narrator,,接着是第二根。第三根。满天都是金黄色的雨。,接着是第二根。第三根。满天都是金黄色的雨。,满天都是薯条。,,
c1_010,system,,,,,,dream_sequence
c1_011,narrator,,我闻到快乐的味道。也闻到烧焦的味道。它们混在一起。,我闻到快乐的味道。也闻到烧焦的味道。它们混在一起。,味道混在一起。,,
c1_012,narrator,,我在梦里哭了。醒来以后也像刚哭过。,我在梦里哭了。醒来以后也像刚哭过。,醒来像哭过。,,
c1_013,system,,,,,,env_switch:bedroom
c1_014,emida,tired,又来了。,又来了。,又来了。,,
c1_015,emida,tired,火。木房子。薯条雨。这个组合到底是谁想出来的啊。,火。木房子。薯条雨。这个组合到底是谁想出来的啊。,火和薯条雨。,,
c1_016,emida,neutral,枕头湿了一块。我摸了一下。不是油。太好了。,枕头湿了一块。我摸了一下。不是油。太好了。,枕头湿了。,,
c1_017,emida,neutral,窗帘缝里有一点白光。应该已经上午了。,窗帘缝里有一点白光。应该已经上午了。,已经上午了。,,
c1_018,emida,internal,我不想去学校。可是如果不去。妈妈就会问我是不是又做梦了。,我不想去学校。可是如果不去。妈妈就会问我是不是又做梦了。,不想去学校。,,
c1_019,emida,neutral,梦这种东西最烦的地方就是它不能请假。,梦这种东西最烦的地方就是它不能请假。,梦不能请假。,,
c1_020,emida,internal,我把制服套上。领口有洗衣粉味。很普通。普通得让人想哭。,我把制服套上。领口有洗衣粉味。很普通。普通得让人想哭。,制服很普通。,,
c1_021,system,,,,,,env_switch:classroom
c1_022,emida,neutral,第二节课。老师在黑板上写公式。粉笔灰落得像雪。,第二节课。老师在黑板上写公式。粉笔灰落得像雪。,第二节课。,,
c1_023,emida,internal,我看着那些数字。它们很整齐。整齐到不像是给人看的。,我看着那些数字。它们很整齐。整齐到不像是给人看的。,数字很整齐。,,
c1_024,teacher,,埃弥亣。你来读下一段。,埃弥亣。你来读下一段。,老师点名。,,
c1_025,emida,neutral,啊。抱歉。读哪里？,啊。抱歉。读哪里？,读哪里。,,
c1_026,student_a,,她又在发呆。,她又在发呆。,她发呆。,,
c1_027,student_b,,是不是还没睡醒啊。,是不是还没睡醒啊。,没睡醒。,,
c1_028,emida,internal,我没有生气。或者说我应该没有。,我没有生气。或者说我应该没有。,没有生气。,,
c1_029,emida,internal,他们笑的时候我也笑一下。这样比较省事。,他们笑的时候我也笑一下。这样比较省事。,跟着笑。,,
c1_030,teacher,,你最近状态不太好。下课后来一下办公室。,你最近状态不太好。下课后来一下办公室。,状态不好。,,
c1_031,emida,neutral,好。,好。,好。,,
c1_032,emida,internal,办公室。心理医生。问卷。把梦讲出来。每一个选项都很丢脸。,办公室。心理医生。问卷。把梦讲出来。每一个选项都很丢脸。,心理医生很丢脸。,,
c1_033,emida,internal,如果我说梦里下薯条。大人会先笑还是先担心？,如果我说梦里下薯条。大人会先笑还是先担心？,说出来很奇怪。,,
c1_034,system,,,,,,env_switch:school_hallway
c1_035,student_a,excited,你知道隔壁班那个吗。去了塔以后就没怎么来学校。,你知道隔壁班那个吗。去了塔以后就没怎么来学校。,有人去了塔。,,
c1_036,student_b,curious,又是那个塔？不是废弃信号塔吗。,又是那个塔？不是废弃信号塔吗。,废弃信号塔。,,
c1_037,student_a,lowered,他们说不是废弃。只是没人承认它还在工作。,他们说不是废弃。只是没人承认它还在工作。,没人承认它工作。,,
c1_038,student_c,,我朋友的传呼机收到过消息。没有号码。,我朋友的传呼机收到过消息。没有号码。,传呼机消息。,,
c1_039,student_b,,写什么？,写什么？,写什么。,,
c1_040,student_c,,这里好舒服。,这里好舒服。,这里好舒服。,,
c1_041,student_a,,我看到的是电子邮件。主题只有一行。你们在哪里。,我看到的是电子邮件。主题只有一行。你们在哪里。,电子邮件。,,
c1_042,student_b,scared,谁发的？,谁发的？,谁发的。,,
c1_043,student_a,lowered,发件人是空白。正文也空白。附件是一个打不开的游戏文件。,发件人是空白。正文也空白。附件是一个打不开的游戏文件。,附件是游戏文件。,,
c1_044,student_c,,还有一个人回了朋友一句。我也要连接吗。,还有一个人回了朋友一句。我也要连接吗。,我也要连接吗。,,
c1_045,student_b,,听起来像恶作剧。,听起来像恶作剧。,像恶作剧。,,
c1_046,student_a,,如果是恶作剧。那几个没来学校的人也太配合了。,如果是恶作剧。那几个没来学校的人也太配合了。,人没来学校。,,
c1_047,emida,internal,这里好舒服。你们在哪里。我也要连接吗。,这里好舒服。你们在哪里。我也要连接吗。,三句话。,,
c1_048,emida,internal,这些句子很短。短到像不是给人读的。像是给机器确认的。,这些句子很短。短到像不是给人读的。像是给机器确认的。,像机器确认。,,
c1_049,student_c,,那座塔叫什么来着。,那座塔叫什么来着。,塔叫什么。,,
c1_050,student_a,lowered,第二巴别塔。好像是这个名字。,第二巴别塔。好像是这个名字。,第二巴别塔。,,
c1_051,emida,internal,我第一次听见这个名字。可我没有觉得陌生。,我第一次听见这个名字。可我没有觉得陌生。,名字不陌生。,,
c1_052,system,,,,,,env_switch:computer_room
c1_053,emida,neutral,放学后我去了机房。理由是查资料。其实是查那个名字。,放学后我去了机房。理由是查资料。其实是查那个名字。,去机房搜索。,,
c1_054,emida,neutral,键盘很脏。空格键上有别人的手汗。我还是按了下去。,键盘很脏。空格键上有别人的手汗。我还是按了下去。,按下键盘。,,
c1_055,forum_post,,【本地怪谈】第二巴别塔不是地名。它会出现在你以为自己需要答案的时候。,【本地怪谈】第二巴别塔不是地名。它会出现在你以为自己需要答案的时候。,怪谈帖子。,,
c1_056,forum_post,,有人说塔顶有一台旧电脑。屏幕上只有绿色光标。一直在等输入。,有人说塔顶有一台旧电脑。屏幕上只有绿色光标。一直在等输入。,塔顶有旧电脑。,,
c1_057,forum_post,,也有人说那里什么都没有。爬上去的人只是突然不想回来了。,也有人说那里什么都没有。爬上去的人只是突然不想回来了。,不想回来。,,
c1_058,forum_post,,1999年最后一天有人在聊天室说。它不是故障。它会长成人。,1999年最后一天有人在聊天室说。它不是故障。它会长成人。,1999聊天室碎片。,,
c1_059,forum_post,,下面有人回复。别讲这种话。大半夜的。,下面有人回复。别讲这种话。大半夜的。,别讲这种话。,,
c1_060,forum_post,,再下面是一串乱码。可我看了很久。总觉得那像一个名字。,再下面是一串乱码。可我看了很久。总觉得那像一个名字。,乱码像名字。,,
c1_061,emida,internal,我把网页往下拉。旧帖子一页一页跳出来。,我把网页往下拉。旧帖子一页一页跳出来。,继续看帖子。,,
c1_062,forum_post,,如果你在塔附近。手机可能会自己下载一个彩色游戏。,如果你在塔附近。手机可能会自己下载一个彩色游戏。,手机下载游戏。,,
c1_063,forum_post,,游戏名字叫X. WHEEL。不要打开。打开以后会记起不是自己的事情。,游戏名字叫X. WHEEL。不要打开。打开以后会记起不是自己的事情。,X. WHEEL。,,
c1_064,emida,shaken,X. WHEEL。,X. WHEEL。,X. WHEEL。,,
c1_065,emida,internal,我看着这个名字。像看着桌面上一枚一直没被点开的图标。,我看着这个名字。像看着桌面上一枚一直没被点开的图标。,像没点开的图标。,,
c1_066,forum_post,,有人问。那座塔在哪里。,有人问。那座塔在哪里。,塔在哪里。,,
c1_067,forum_post,,回复只有一张低清照片。城市边缘。绿色光点。塔影歪得像睡着的人。,回复只有一张低清照片。城市边缘。绿色光点。塔影歪得像睡着的人。,低清照片。,,
c1_068,emida,internal,那张照片里的背景。我每天放学都能看见。,那张照片里的背景。我每天放学都能看见。,每天都能看见。,,
c1_069,system,,,,,,env_switch:tower_distant
c1_070,emida,neutral,原来它一直在那里。,原来它一直在那里。,一直在那里。,,
c1_071,emida,neutral,从学校楼顶看过去。城市边缘有一根细细的影子。,从学校楼顶看过去。城市边缘有一根细细的影子。,城市边缘的影子。,,
c1_072,emida,internal,以前我以为那只是电视塔。信号塔。随便什么塔。,以前我以为那只是电视塔。信号塔。随便什么塔。,随便什么塔。,,
c1_073,emida,internal,可现在它有名字了。名字一旦出现。东西就很难再装作不存在。,可现在它有名字了。名字一旦出现。东西就很难再装作不存在。,名字出现。,,
c1_074,emida,neutral,塔顶有一点绿光。白天也能看见。像电脑睡眠时没有睡熟。,塔顶有一点绿光。白天也能看见。像电脑睡眠时没有睡熟。,绿光。,,
c1_075,emida,internal,我想起梦里的房子。想起薯条落在台阶上的声音。,我想起梦里的房子。想起薯条落在台阶上的声音。,想起梦。,,
c1_076,system,,,,,,red_flash
c1_077,emida,shaken,红色又来了。,红色又来了。,红色来了。,,
c1_078,emida,shaken,它没有烧塔。它只是从我的眼角擦过去。像提醒我别忘了。,它没有烧塔。它只是从我的眼角擦过去。像提醒我别忘了。,提醒我别忘。,,
c1_079,system,,,,,,env_switch:bedroom
c1_080,emida,tired,晚上回家。我把搜索记录删掉。删完又觉得很好笑。,晚上回家。我把搜索记录删掉。删完又觉得很好笑。,删搜索记录。,,
c1_081,emida,neutral,删掉记录又不会让塔消失。,删掉记录又不会让塔消失。,塔不会消失。,,
c1_082,emida,internal,妈妈问我今天怎么样。我说普通。这个词真方便。,妈妈问我今天怎么样。我说普通。这个词真方便。,普通真方便。,,
c1_083,emida,internal,普通可以包住很多东西。梦。火。薯条。还有城市边缘那一点绿。,普通可以包住很多东西。梦。火。薯条。还有城市边缘那一点绿。,普通包住很多东西。,,
c1_084,emida,neutral,我没有决定要去。,我没有决定要去。,没有决定。,,
c1_085,emida,neutral,但我开始记路线了。,但我开始记路线了。,开始记路线。,,
c1_086,narrator,,夜里又下雨。真正的雨。窗玻璃上全是水线。,夜里又下雨。真正的雨。窗玻璃上全是水线。,真正的雨。,,
c1_087,narrator,,我闻了很久。没有薯条味。,我闻了很久。没有薯条味。,没有薯条味。,,
c1_088,narrator,,所以我知道。我还没有睡着。,所以我知道。我还没有睡着。,还没睡着。,,
